asset,entry_time_utc,exit_time_utc,side,entry_px,exit_px,holding_days,ecdf,signed_vpin,d25,vpin
linkusdt,2025-08-12T22:36:00,2025-08-13T07:37:00,-1,23.19,23.441,0.37569444444444444,0.8779946057432968,-0.004335659666202263,-0.0010421063315141366,0.14283401228945095
linkusdt,2025-08-13T07:47:00,2025-08-13T16:42:00,1,23.445,23.546,0.3715277777777778,0.9827613226766965,0.001784230458875045,0.022071505779612977,0.17448231887544718
avaxusdt,2025-08-13T13:50:00,2025-08-14T12:34:00,1,25.277,23.649,0.9472222222222222,0.8796856106408706,0.04013062119822863,0.01816811614223121,0.12686331252120678
arbusdt,2025-08-13T15:54:00,2025-08-13T22:58:00,-1,0.5374,0.5805,0.29444444444444445,0.8526615969581749,-0.005911494744041611,-8.535354165370435e-05,0.14518979623764655
linkusdt,2025-08-13T16:44:00,2025-08-14T07:12:00,-1,23.546,23.615,0.6027777777777777,0.9728598014888338,-0.05375211156220109,-0.009327510560511648,0.17386930004874285
linkusdt,2025-08-14T07:55:00,2025-08-14T15:52:00,-1,23.543,22.802,0.33125,0.8681825165155937,-0.06708224560327464,-0.0016828995516778578,0.14628499183689164
avaxusdt,2025-08-14T12:35:00,2025-08-15T05:23:00,-1,23.787,24.77,0.7,0.975833832634312,-0.07448595446394826,-0.005362849021992744,0.1409058293131304
arbusdt,2025-08-14T12:44:00,2025-08-14T20:44:00,-1,0.5223,0.514,0.3333333333333333,0.9671920821114369,-0.05838892113493782,-0.000673610608402514,0.16448921438519928
linkusdt,2025-08-14T16:00:00,2025-08-15T12:29:00,-1,22.754,22.186,0.8534722222222222,0.8180024286581664,-0.007849976441288351,-0.005379989519614464,0.1423741477904367
arbusdt,2025-08-15T06:16:00,2025-08-15T17:25:00,-1,0.5239,0.4753,0.46458333333333335,0.8667621776504298,-0.03442280020587471,-0.0003266097473377805,0.14816888068376322
avaxusdt,2025-08-15T23:00:00,2025-08-17T16:12:00,-1,24.104,25.336,1.7166666666666666,0.8105795410346169,-0.03153716810245481,-0.002166530641924569,0.12313745425545233
arbusdt,2025-08-16T01:14:00,2025-08-17T06:42:00,-1,0.4849,0.5107,1.2277777777777779,0.9931494818197787,-0.035414223469055546,-0.0009317630034695323,0.17604611227316042
linkusdt,2025-08-17T08:50:00,2025-08-17T15:49:00,1,24.489,26.214,0.29097222222222224,0.8784163096469197,0.002167380635815555,0.021680973549938615,0.14842121078881207
linkusdt,2025-08-17T16:40:00,2025-08-18T01:09:00,1,25.999,26.127,0.35347222222222224,0.9137705394794242,0.01357959684601443,0.0011754423051064666,0.15848602767361009
arbusdt,2025-08-17T21:47:00,2025-08-18T08:45:00,-1,0.5354,0.5136,0.45694444444444443,0.9829001367989056,-0.006549173650928375,-0.0007099650159252957,0.17494448293691323
linkusdt,2025-08-18T01:13:00,2025-08-18T05:46:00,1,26.076,24.533,0.18958333333333333,0.9653337169159953,0.017419540746591952,0.00544539879818981,0.17349632207098697
linkusdt,2025-08-18T05:47:00,2025-08-18T12:59:00,-1,24.397,25.626,0.3,0.977263038226517,-0.03432392039210023,-0.012780014316460475,0.1805140316113375
avaxusdt,2025-08-18T08:07:00,2025-08-19T11:54:00,-1,23.52,23.278,1.1576388888888889,0.8046529513555085,-0.030254798413128312,-0.0008630142423924625,0.1222828462575243
arbusdt,2025-08-18T08:53:00,2025-08-18T22:29:00,-1,0.5139,0.5248,0.5666666666666667,0.8928029664587899,-0.007185890618296149,-0.004448289860377902,0.15677507092607898
linkusdt,2025-08-18T13:00:00,2025-08-18T18:18:00,1,25.522,25.003,0.22083333333333333,0.8820224719101124,0.012040100472616605,0.0008942240783819944,0.1590319208616009
linkusdt,2025-08-18T19:08:00,2025-08-19T02:17:00,-1,25.923,24.948,0.29791666666666666,0.9334627113945106,-0.01798627384104104,-0.0006737587811229129,0.1707929842242333
linkusdt,2025-08-19T02:32:00,2025-08-19T09:51:00,1,24.971,24.192,0.30486111111111114,0.9865753424657534,0.0043515554243124845,0.007982541922556124,0.1841342089237966
