asset,slice,feature,target,n,rho,p
suiusdt,delta5_conditional,rising_buy,fret,462,0.020894409960156134,8.67977798671984
suiusdt,delta5_conditional,rising_sell,fret,2025,-0.00889653227178526,-8.463196814666382
suiusdt,delta5_conditional,falling_buy,fret,413,0.015793263119746607,6.586544885310165
suiusdt,delta5_conditional,falling_sell,fret,2075,-0.009005126296487245,-8.218042267319122
avaxusdt,oos_all,delta_5,fret,19300,-0.025377896288041425,0.00042196742594260793
avaxusdt,oos_all,delta_25,fret,19300,-0.03315910206283469,4.0738588044766705e-06
avaxusdt,oos_all,accel,fret,19300,-0.002008526144550286,0.7802328695062954
avaxusdt,oos_all,ar1_resid,fret,19300,-0.012921969424634212,0.0726320288610681
avaxusdt,oos_all,delta_5,signed_fret,19300,0.03562001237802194,7.43125402711993e-07
avaxusdt,oos_all,delta_25,signed_fret,19300,0.07084511315251958,6.595923875329683e-23
avaxusdt,oos_all,accel,signed_fret,19300,-0.0020158658348783795,0.7794505161550312
avaxusdt,oos_all,ar1_resid,signed_fret,19300,0.015671604264296545,0.029468518285906003
avaxusdt,high_vpin,delta_5,fret,6758,-0.0031626385983790782,0.7949071527369161
avaxusdt,high_vpin,delta_25,fret,6758,-0.039845344684882475,0.0010519034849502547
avaxusdt,high_vpin,accel,fret,6758,0.006178524975093653,0.6115731036791283
avaxusdt,high_vpin,ar1_resid,fret,6758,-0.0014218758843149474,0.9069657131086577
avaxusdt,high_vpin,delta_5,signed_fret,6758,0.04409136243193551,0.0002881644124958841
avaxusdt,high_vpin,delta_25,signed_fret,6758,0.0967118493103366,1.617755433052725e-15
avaxusdt,high_vpin,accel,signed_fret,6758,-0.013345114469114107,0.2726814047907956
avaxusdt,high_vpin,ar1_resid,signed_fret,6758,0.01348034171406199,0.2678512138006188
avaxusdt,buy_dom,delta_5,fret,1564,0.09817958138183702,0.00010063922357482893
avaxusdt,buy_dom,delta_25,fret,1564,0.15852425967796924,2.8983937420086935e-10
avaxusdt,buy_dom,accel,fret,1564,-0.02365200290087083,0.3499124811576695
avaxusdt,buy_dom,ar1_resid,fret,1564,0.028814584992085276,0.2547580320094953
avaxusdt,buy_dom,delta_5,signed_fret,1564,0.09817958138183702,0.00010063922357482893
avaxusdt,buy_dom,delta_25,signed_fret,1564,0.15852425967796924,2.8983937420086935e-10
avaxusdt,buy_dom,accel,signed_fret,1564,-0.02365200290087083,0.3499124811576695
avaxusdt,buy_dom,ar1_resid,signed_fret,1564,0.028814584992085276,0.2547580320094953
avaxusdt,sell_dom,delta_5,fret,5194,-0.02703452657461359,0.05138511458762563
avaxusdt,sell_dom,delta_25,fret,5194,-0.08202610287598,3.2169131622101627e-09
avaxusdt,sell_dom,accel,fret,5194,0.011644018722802778,0.4014670479186515
avaxusdt,sell_dom,ar1_resid,fret,5194,-0.007937374175853098,0.5673807770435568
avaxusdt,sell_dom,delta_5,signed_fret,5194,0.02703452657461359,0.05138511458762563
avaxusdt,sell_dom,delta_25,signed_fret,5194,0.08202610287598,3.2169131622101627e-09
avaxusdt,sell_dom,accel,signed_fret,5194,-0.011644018722802778,0.4014670479186515
avaxusdt,sell_dom,ar1_resid,signed_fret,5194,0.007937374175853098,0.5673807770435568
avaxusdt,delta5_conditional,rising_buy,fret,781,0.017004720875780612,11.505500327917863
avaxusdt,delta5_conditional,rising_sell,fret,2598,-0.0025501033308422964,-2.589761526744334
avaxusdt,delta5_conditional,falling_buy,fret,783,0.011182515391553181,7.203373623888827
avaxusdt,delta5_conditional,falling_sell,fret,2596,-0.00022378945760952645,-0.22249352291125113
arbusdt,oos_all,delta_5,fret,15094,-0.06199776615555257,2.4669220209673254e-14
arbusdt,oos_all,delta_25,fret,15094,-0.1085772097453244,8.130566766722975e-41
