sharpe,sortino,calmar,max_drawdown,max_dd_duration,profit_factor,win_rate,payoff_ratio,expectancy,tail_ratio,time_in_market,skewness,kurtosis,total_return,n_trades,mean_return,std_return,t_stat,p_value,asset,timeframe,strategy,type,holding,grade,pass_raw,pass_bonf
0.0879,0.1101,-0.0679,-0.2476,70,1.0215,0.4821,1.0971,0.000184,1.2235,0.0158,-0.9816,5.2459,-0.0136,112,0.000184,0.024661,0.0791,0.93708812,RENDER,1h,stoch_bb_combo,combo,4h,D,False,False
-0.1306,-0.2019,-0.2633,-0.3797,81,0.9685,0.422,1.3265,-0.000338,1.1737,0.0153,0.2952,2.4821,-0.0818,109,-0.000338,0.030007,-0.1176,0.90661889,RENDER,1h,stoch_bb_combo,combo,8h,F,False,False
-0.1715,-0.3048,-0.3137,-0.3818,98,0.9591,0.4158,1.3474,-0.000502,0.8619,0.0142,0.7895,2.5813,-0.0982,101,-0.000502,0.032671,-0.1543,0.87766138,RENDER,1h,stoch_bb_combo,combo,12h,F,False,False
-0.9286,-1.1568,-0.7938,-0.6132,83,0.7863,0.5465,0.6524,-0.004802,0.6599,0.0121,-0.8279,1.6169,-0.4174,86,-0.004802,0.053286,-0.8358,0.40561971,RENDER,1h,stoch_bb_combo,combo,1d,F,False,False
-0.4071,-0.6331,-0.5625,-0.2017,123,0.8998,0.4919,0.9293,-0.000616,0.8245,0.0175,1.4741,9.2685,-0.0929,124,-0.000616,0.018705,-0.3664,0.71466104,RENDER,1h,channel,priceaction,2h,F,False,False
-0.7667,-1.0036,-0.6734,-0.2962,108,0.8177,0.4732,0.9103,-0.001384,0.9074,0.0158,-0.0451,3.6447,-0.1649,112,-0.001384,0.021226,-0.6901,0.49159788,RENDER,1h,channel,priceaction,4h,F,False,False
0.4507,0.7679,0.4761,-0.2575,49,1.1979,0.5354,1.0397,0.002037,0.7914,0.0139,4.8036,42.4657,0.0982,99,0.002037,0.049958,0.4056,0.6859086,RENDER,1h,channel,priceaction,8h,D,False,False
-0.4058,-0.5162,-0.7129,-0.4532,52,0.8765,0.4694,0.9908,-0.001899,0.8117,0.0138,0.6012,18.0335,-0.271,98,-0.001899,0.051469,-0.3652,0.71573736,RENDER,1h,channel,priceaction,12h,F,False,False
0.758,1.0249,0.9623,-0.3203,41,1.2343,0.5934,0.8457,0.003739,1.0329,0.0128,0.3271,5.2756,0.2431,91,0.003739,0.052281,0.6823,0.49682301,RENDER,1h,channel,priceaction,1d,C,False,False
-0.1063,-0.1743,-0.1969,-0.0576,14,0.9598,0.5278,0.8587,-0.000189,1.0267,0.0051,-0.0198,-0.172,-0.0092,36,-0.000189,0.011826,-0.0956,0.92434651,RENDER,1h,channel_short,priceaction,2h,F,False,False
-0.4078,-0.6874,-0.7688,-0.0587,19,0.8376,0.4118,1.1965,-0.000982,0.8505,0.0048,0.7927,2.0224,-0.0367,34,-0.000982,0.015597,-0.367,0.71595441,RENDER,1h,channel_short,priceaction,4h,F,False,False
-1.0734,-1.8541,-0.9712,-0.1509,13,0.6565,0.5161,0.6154,-0.003889,0.6648,0.0044,-0.2051,-0.9862,-0.1205,31,-0.003889,0.022411,-0.9661,0.34172232,RENDER,1h,channel_short,priceaction,8h,F,False,False
-1.5122,-2.069,-1.0463,-0.3384,189,0.7523,0.4427,0.947,-0.001694,0.7666,0.027,-0.07,2.4059,-0.2982,192,-0.001694,0.017245,-1.3611,0.17509322,RENDER,1h,inside_bar,priceaction,2h,F,False,False
-0.8605,-1.5476,-1.0892,-0.4276,179,0.808,0.4199,1.1163,-0.00216,0.7287,0.0255,4.5112,45.6527,-0.3982,181,-0.00216,0.037529,-0.7745,0.43966594,RENDER,1h,inside_bar,priceaction,4h,F,False,False
-1.6577,-1.7355,-1.0497,-0.6333,155,0.6832,0.4586,0.8066,-0.004749,0.8759,0.0221,-2.8623,21.1555,-0.5874,157,-0.004749,0.039879,-1.492,0.13771939,RENDER,1h,inside_bar,priceaction,8h,F,False,False
