sharpe,sortino,calmar,max_drawdown,max_dd_duration,profit_factor,win_rate,payoff_ratio,expectancy,tail_ratio,time_in_market,skewness,kurtosis,total_return,n_trades,mean_return,std_return,t_stat,p_value,n_long,n_short,mean_long,mean_short,asset,timeframe,strategy,type,holding,grade,pass_raw,pass_bonf
-7.234,-7.6352,-0.9644,-0.8152,1450,0.4959,0.3941,0.7624,-0.001138,0.6022,0.0127,-4.6227,79.808,-0.8148,1459,-0.001138,0.005749,-7.5637,0.0,725,734,-0.0011815291540071089,-0.001095654571535733,ETH,5m,keltner_mr,mean_reversion,15m,F,False,False
-5.0857,-6.569,-0.9473,-0.829,1225,0.6283,0.4313,0.8284,-0.001319,0.6736,0.0108,0.0264,6.3723,-0.814,1238,-0.001319,0.00873,-5.3176,1.2e-07,626,612,-0.0011129786579697858,-0.0015306389392674314,ETH,5m,keltner_mr,mean_reversion,1h,F,False,False
-2.8339,-3.8457,-0.9341,-0.825,875,0.7426,0.4634,0.8597,-0.001669,0.7101,0.0077,0.4958,7.5983,-0.8001,889,-0.001669,0.016792,-2.9631,0.00312676,443,446,-0.0013217595446392604,-0.0020133777669802456,ETH,5m,keltner_mr,mean_reversion,4h,F,False,False
-17.4828,-25.4085,-0.9956,-0.9912,4809,0.4638,0.3229,0.9727,-0.000977,0.8087,0.0418,0.3802,7.4338,-0.9912,4810,-0.000977,0.003705,-18.2798,0.0,2455,2355,-0.0010970344858678874,-0.0008511607577979968,ETH,5m,dual_ema_adx,trend,15m,F,False,False
-6.9543,-9.6881,-0.9842,-0.967,3367,0.6827,0.4107,0.9795,-0.000953,0.8174,0.0293,0.4917,9.9256,-0.9636,3372,-0.000953,0.007611,-7.2713,0.0,1716,1656,-0.0011063788722576187,-0.0007941661947028365,ETH,5m,dual_ema_adx,trend,1h,F,False,False
-3.2627,-4.285,-0.9788,-0.904,1666,0.7727,0.4524,0.9354,-0.001294,0.8012,0.0145,0.2378,10.4301,-0.9058,1669,-0.001294,0.015502,-3.4114,0.00066173,836,833,-0.0012188110030000607,-0.001370444405268478,ETH,5m,dual_ema_adx,trend,4h,F,False,False
-12.7087,-19.909,-0.9938,-0.9883,3721,0.5252,0.3104,1.1672,-0.001166,0.8719,0.0324,0.8181,9.0088,-0.9877,3728,-0.001166,0.005357,-13.288,0.0,1773,1955,-0.0013056374961230132,-0.0010389674326528055,ETH,5m,vol_spike_brk,trend,15m,F,False,False
-6.1318,-9.4044,-0.9827,-0.9593,2786,0.6965,0.3768,1.1521,-0.001079,1.0245,0.0243,0.592,6.7956,-0.9561,2792,-0.001079,0.008895,-6.4113,0.0,1335,1457,-0.0009849682119431212,-0.001165825476272011,ETH,5m,vol_spike_brk,trend,1h,F,False,False
-1.6893,-2.4655,-0.9063,-0.7866,1535,0.8748,0.4379,1.1227,-0.000748,1.0761,0.0134,0.0916,7.0167,-0.7444,1539,-0.000748,0.016611,-1.7663,0.07753905,754,785,-0.0006868575979876786,-0.0008065802052537348,ETH,5m,vol_spike_brk,trend,4h,F,False,False
-12.2882,-14.6318,-0.9847,-0.9547,3020,0.472,0.3803,0.769,-0.001009,0.6196,0.0263,-0.6009,13.669,-0.954,3021,-0.001009,0.004317,-12.8483,0.0,1342,1679,-0.0010242625978670815,-0.0009968681571147608,ETH,5m,stoch_cross,mean_reversion,15m,F,False,False
-6.8055,-8.8792,-0.9767,-0.9416,2353,0.6395,0.4077,0.929,-0.001113,0.7841,0.021,-0.0579,8.389,-0.9365,2411,-0.001113,0.007682,-7.1158,0.0,1082,1329,-0.0010730993164308935,-0.0011460738163931372,ETH,5m,stoch_cross,mean_reversion,1h,F,False,False
-4.1641,-5.462,-0.9592,-0.9273,1321,0.71,0.4404,0.9024,-0.001671,0.7594,0.0118,-0.291,3.7243,-0.91,1358,-0.001671,0.014146,-4.354,1.437e-05,591,767,-0.0020932845726542313,-0.0013462154493771574,ETH,5m,stoch_cross,mean_reversion,4h,F,False,False
-32.24,-40.6134,-1.0,-1.0,23728,0.5145,0.3934,0.7932,-0.000991,0.6719,0.2064,-0.8514,36.8636,-1.0,23739,-0.000991,0.004531,-33.7098,0.0,11511,12228,-0.0010167483028055812,-0.0009674275951890898,SOL,5m,vwap_mr,mean_reversion,15m,F,False,False
-10.3367,-13.6847,-0.9998,-0.9998,7672,0.6916,0.4448,0.8632,-0.001074,0.7576,0.0667,0.5611,22.9518,-0.9998,7673,-0.001074,0.008705,-10.8079,0.0,3728,3945,-0.0011901600597978338,-0.0009644105582023746,SOL,5m,vwap_mr,mean_reversion,1h,F,False,False
-4.2663,-5.6895,-0.9929,-0.9828,2162,0.7597,0.4633,0.8798,-0.001653,0.81,0.0196,0.3601,13.8637,-0.983,2251,-0.001653,0.017584,-4.4608,8.57e-06,1108,1143,-0.0019002056988005511,-0.0014139283200421957,SOL,5m,vwap_mr,mean_reversion,4h,F,False,False
-25.8307,-32.7975,-1.0,-1.0,13257,0.4895,0.3734,0.8215,-0.001056,0.682,0.1154,-1.5834,48.4432,-1.0,13266,-0.001056,0.004505,-27.0083,0.0,6600,6666,-0.001073268814504408,-0.0010398433294441962,SOL,5m,stoch_rsi,mean_reversion,15m,F,False,False
-8.2859,-10.8884,-0.9989,-0.9989,6675,0.7239,0.4323,0.9508,-0.000956,0.8742,0.0584,-0.851,43.6997,-0.9988,6716,-0.000956,0.009042,-8.6637,0.0,3348,3368,-0.0009429432442718825,-0.0009688178770555977,SOL,5m,stoch_rsi,mean_reversion,1h,F,False,False
-1.9524,-2.6186,-0.9225,-0.9104,2038,0.8816,0.4806,0.9529,-0.00077,0.921,0.0188,-0.5566,10.737,-0.865,2162,-0.00077,0.017547,-2.0414,0.04133595,1088,1074,-0.0008486275876041003,-0.0006911101733209826,SOL,5m,stoch_rsi,mean_reversion,4h,F,False,False
-35.4993,-51.9079,-1.0,-1.0,30887,0.536,0.3543,0.9766,-0.000958,0.8016,0.2691,0.7492,34.117,-1.0,30945,-0.000958,0.004538,-37.1177,0.0,15713,15232,-0.0009687640409470033,-0.0009459569451570969,SOL,5m,ema_ribbon,trend,15m,F,False,False
-9.0917,-12.6801,-0.9997,-0.9998,8777,0.7391,0.4203,1.0193,-0.0009,0.9528,0.0765,-0.2343,19.3579,-0.9997,8803,-0.0009,0.008882,-9.5061,0.0,4453,4350,-0.0009350132341900814,-0.000863895474183787,SOL,5m,ema_ribbon,trend,1h,F,False,False
-2.3526,-3.2712,-0.9526,-0.9414,2187,0.8623,0.4573,1.0232,-0.0009,0.9663,0.0204,-0.3557,11.0231,-0.9165,2344,-0.0009,0.017721,-2.4598,0.01397309,1177,1167,-0.0011019231084804407,-0.0006970368557941395,SOL,5m,ema_ribbon,trend,4h,F,False,False
-10.9742,-12.5701,-0.9898,-0.9735,2816,0.4835,0.3921,0.7496,-0.001259,0.6041,0.0247,-2.1641,42.9409,-0.9732,2836,-0.001259,0.005841,-11.4746,0.0,1468,1368,-0.0012215839813051932,-0.0012983330303750085,SOL,5m,rsi_extreme,mean_reversion,15m,F,False,False
-6.2048,-7.6797,-0.9848,-0.9574,2162,0.6543,0.4342,0.8526,-0.001374,0.7223,0.0191,-0.8848,17.0164,-0.9563,2197,-0.001374,0.009925,-6.4876,0.0,1134,1063,-0.0012871674422028439,-0.001466084802246111,SOL,5m,rsi_extreme,mean_reversion,1h,F,False,False
-2.6332,-3.8748,-0.9527,-0.8968,1208,0.8017,0.4506,0.9775,-0.001404,0.8147,0.0116,1.0317,13.2743,-0.8784,1336,-0.001404,0.018636,-2.7532,0.00598073,694,642,-0.001368187232047174,-0.0014421530989548418,SOL,5m,rsi_extreme,mean_reversion,4h,F,False,False
-25.9209,-39.2934,-1.0,-1.0,19517,0.5608,0.3679,0.9635,-0.001032,0.8202,0.1698,2.1004,54.623,-1.0,19533,-0.001032,0.005324,-27.1026,0.0,9729,9804,-0.001065260529369664,-0.0009998175116296693,SOL,5m,momentum,trend,15m,F,False,False
-9.6541,-13.542,-0.9998,-0.9999,7322,0.7032,0.4246,0.9531,-0.001152,0.8912,0.0637,0.3895,29.8139,-0.9998,7330,-0.001152,0.009767,-10.0943,0.0,3648,3682,-0.001224917036515592,-0.0010788665076229462,SOL,5m,momentum,trend,1h,F,False,False
-2.9466,-4.0037,-0.9817,-0.9501,2180,0.8267,0.4638,0.9557,-0.001187,0.9646,0.019,-0.4266,9.6273,-0.9477,2184,-0.001187,0.018004,-3.0809,0.00208956,1136,1048,-0.0014811561233231936,-0.0008679127404377728,SOL,5m,momentum,trend,4h,F,False,False
-17.5748,-28.4544,-0.9998,-0.9998,7666,0.5256,0.3387,1.0262,-0.001109,0.8215,0.0669,2.9114,54.9146,-0.9998,7688,-0.001109,0.00529,-18.376,0.0,3890,3798,-0.0012309770130108665,-0.000983403036162479,SOL,5m,range_breakout,trend,15m,F,False,False
-7.0797,-11.0453,-0.9961,-0.9929,4647,0.7243,0.4135,1.0276,-0.001017,0.928,0.0404,1.7333,31.0521,-0.9928,4651,-0.001017,0.009366,-7.4024,0.0,2351,2300,-0.0009966678060690077,-0.0010370713843009807,SOL,5m,range_breakout,trend,1h,F,False,False
-2.8025,-4.0541,-0.9755,-0.9364,1916,0.8239,0.4416,1.042,-0.001222,1.0016,0.0167,0.1479,8.588,-0.9312,1925,-0.001222,0.018292,-2.9303,0.00342616,948,977,-0.0012545809973253184,-0.0011898173806051716,SOL,5m,range_breakout,trend,4h,F,False,False
-26.7259,-36.5117,-1.0,-1.0,11678,0.4751,0.3567,0.8568,-0.001096,0.7152,0.1021,-0.1752,7.8415,-1.0,11744,-0.001096,0.00425,-27.9444,0.0,5853,5891,-0.0010715603769694028,-0.0011199981108779434,SOL,5m,macd_scalp,trend,15m,F,False,False
-9.1366,-12.901,-0.9989,-0.999,6365,0.7064,0.4295,0.9383,-0.001014,0.8504,0.0557,0.3114,9.6853,-0.9988,6403,-0.001014,0.00849,-9.5531,0.0,3195,3208,-0.0010105075598863872,-0.0010165778021024613,SOL,5m,macd_scalp,trend,1h,F,False,False
