sharpe,sortino,calmar,max_drawdown,max_dd_duration,profit_factor,win_rate,payoff_ratio,expectancy,tail_ratio,time_in_market,skewness,kurtosis,total_return,n_trades,mean_return,std_return,t_stat,p_value,asset,timeframe,strategy,holding,grade
0.3856,0.5804,-0.2008,-0.7685,296,1.0601,0.5307,0.9375,0.00115,1.1554,0.1664,0.4227,4.52,-0.2248,554,0.00115,0.056961,0.4752,0.63479918,FTM,4h,EWMAC_16_64,1d,D
-0.5723,-0.7971,-0.7747,-0.9539,93,0.8677,0.4783,0.9466,-0.005397,0.9016,0.0553,-0.2428,2.0573,-0.87,184,-0.005397,0.103794,-0.7053,0.48151278,FTM,4h,EWMAC_16_64,3d,F
1.3501,2.8684,3.4409,-0.4213,20,1.6675,0.557,1.3264,0.026784,1.7733,0.0237,0.8119,1.4048,2.9004,79,0.026784,0.14307,1.664,0.10013048,FTM,4h,EWMAC_16_64,1w,C
1.0707,1.7033,1.221,-0.6462,296,1.1757,0.5235,1.0703,0.003187,1.32,0.1664,0.5599,4.4556,1.4194,554,0.003187,0.056848,1.3197,0.18748245,FTM,4h,DualMom_63,1d,C
0.5115,0.7198,-0.0977,-0.8898,89,1.1352,0.5163,1.0635,0.00482,0.9719,0.0553,-0.2546,2.1616,-0.129,184,0.00482,0.103723,0.6304,0.52922095,FTM,4h,DualMom_63,3d,C
2.3181,5.2046,10.7482,-0.4869,27,2.4253,0.6203,1.4849,0.044488,1.83,0.0237,0.7864,1.3091,15.1139,79,0.044488,0.138402,2.857,0.00547972,FTM,4h,DualMom_63,1w,C
1.0805,1.5539,1.4119,-0.5617,255,1.1777,0.556,0.9407,0.003216,1.1454,0.1664,0.2054,4.5604,1.4279,554,0.003216,0.056845,1.3317,0.18352108,FTM,4h,DualMom_126,1d,C
0.6349,0.8797,0.0683,-0.7726,98,1.1706,0.5489,0.962,0.00598,0.9719,0.0553,-0.2544,2.1789,0.0813,184,0.00598,0.103651,0.7826,0.43489511,FTM,4h,DualMom_126,3d,C
1.1817,1.9547,1.3176,-0.7662,27,1.5642,0.5823,1.1222,0.023542,1.5564,0.0237,0.3431,1.7687,1.8868,79,0.023542,0.143669,1.4565,0.14927922,FTM,4h,DualMom_126,1w,C
-0.3067,-0.478,-0.6489,-0.9096,387,0.9579,0.4732,1.0664,-0.000894,0.999,0.1664,0.1363,1.4885,-0.7339,541,-0.000894,0.055671,-0.3736,0.70883546,ARB,4h,EWMAC_8_32,1d,F
-0.7721,-1.2932,-0.7889,-0.9282,131,0.8356,0.4722,0.9339,-0.006507,0.8989,0.0554,0.2385,0.3351,-0.8585,180,-0.006507,0.092817,-0.9406,0.34818338,ARB,4h,EWMAC_8_32,3d,F
0.5169,0.8745,0.1006,-0.5737,75,1.2035,0.4935,1.2351,0.009166,1.2559,0.0237,0.1094,0.1729,0.0868,77,0.009166,0.127742,0.6296,0.53082801,ARB,4h,EWMAC_8_32,1w,C
-0.2522,-0.426,-0.6635,-0.8477,363,0.9653,0.4529,1.1662,-0.000735,0.9914,0.1664,0.4768,1.4805,-0.7067,541,-0.000735,0.05567,-0.3072,0.75881039,ARB,4h,EWMAC_16_64,1d,F
0.0426,0.0733,-0.4897,-0.7747,147,1.01,0.5056,0.9878,0.000359,1.017,0.0554,0.2274,0.2632,-0.5074,180,0.000359,0.092971,0.0519,0.95868933,ARB,4h,EWMAC_16_64,3d,D
1.6636,3.8659,4.884,-0.4137,16,1.8176,0.5455,1.5147,0.028775,1.8644,0.0237,0.5245,-0.2683,4.1569,77,0.028775,0.124597,2.0265,0.04622257,ARB,4h,EWMAC_16_64,1w,C
-0.1293,-0.1978,-0.5579,-0.8919,299,0.9817,0.4935,1.0075,-0.000372,0.9879,0.1664,0.1221,2.4927,-0.64,541,-0.000372,0.054976,-0.1575,0.87488421,ARB,4h,DualMom_63,1d,F
0.3934,0.6247,-0.136,-0.842,105,1.0962,0.55,0.8969,0.003297,1.1441,0.0554,-0.0833,0.4396,-0.1651,180,0.003297,0.092301,0.4793,0.63234214,ARB,4h,DualMom_63,3d,D
1.9757,5.0315,5.8626,-0.5014,28,2.0347,0.5455,1.6956,0.033809,1.9472,0.0237,0.5526,-0.3755,6.6486,77,0.033809,0.123268,2.4068,0.01852348,ARB,4h,DualMom_63,1w,C
0.1338,0.2293,-0.5014,-0.6765,527,1.0189,0.4732,1.1344,0.00039,1.0626,0.1664,0.4969,1.4417,-0.4592,541,0.00039,0.055653,0.163,0.87057089,ARB,4h,DualMom_126,1d,D
